Ref,Group,Kind,Suggested item,Trim type (as on WO),Description (as on WO),Styles using,New Sage code,Unit cost (GBP),Style codes
T419,Labels & branding,Trim,Red oh label,RED OH LABEL,OH red tax label - set level with top of left pocket. left side of pocket as worn.,7,,,OHAPP063103DENDS; OHAPP0631110DS; OHAPP0631153DS; OHAPP063115DS; OHAPP0631224DENDS; OHAPP0631241DS; OHAPP0631GDDS
T420,Labels & branding,Trim,Red oh label,RED OH LABEL,OH red tax label - set level with top of pocket. left side of pocket as worn.,7,,,OHAPP352801C; OHAPP352803; OHAPP352815; OHAPP3528248; OHAPP352831; OHAPP352882; OHAPP352883
T421,Labels & branding,Trim,Red oh label,RED OH LABEL,OH red tax label - set level with top of pocket mouth of mitred pocket left side of pocket as worn.,1,,,OHAPP0569GD
T422,Labels & branding,Trim,Size label,SIZE LABEL,Set in lower edge of waistband underneath oliver harvey woven label,4,,,OHLCTSHROPSHIRE--03; OHLCTSURREY--03; OHCTLINCOLN--03; OHCTTLINCOLN--03
T423,Labels & branding,Trim,Size label,SIZE LABEL,Set underneath OH woven label in centre back waist,4,,,OHCTLANCASHIRE--03; OHCTLANCASHIRE--26; OHCTTLANCASHIRE--03; OHCTTLANCASHIRE--26
T424,Care / wash labels,Trim,Additional label,Additional label,Garment name + manufacturing month/year label — behind wash label in side seam,17,,,OHCJSMCHESHIRE--01; OHCJMCHESHIRE--01; OHCJMCHESHIRE--01L; OHCJMCHESHIRE--03; OHCJSMCHESHIRE--01L; OHCJSMCHESHIRE--03; OHCJMOXFORD--01; OHCJMOXFORD--01L; OHCJMOXFORD--03; OHCJMOXFORD--03L; OHCJSMOXFORD--01; OHCJSMOXFORD--01L; OHCJSMOXFORD--01S; OHCJSMOXFORD--01LS; OHCJSMOXFORD--03; OHCJSMOXFORD--03L; OHCJSMOXFORDNLL--01
T425,Care / wash labels,Trim,Additional printed care label,Additional printed care label,"ADDITIONAL LABEL SET UNDERNEATH Oliver Harvey label to state ""REMOVE NECK STRAP AND ALL LEATHER TRIMS BEFORE WASH""",3,,,OHAPP0610241; OHAPP061203DEN; OHAPP0612GD
T426,Care / wash labels,Trim,Care label,Care label,Tibard printed — set into centre back crown. Main 65% recycled polyester 35% organic cotton · mesh 100% polyester · 60° wash · 2-dot iron · low tumble dry · no bleach · P dry clean,4,,,OHHTM016001; OHHTM016003; OHHTM016015; OHHTM0160248
T427,Care / wash labels,Trim,Care label,CARE LABEL,Care label - 65% recycled polyester 35% organic cotton 60 degree wash/ no bleach/ 2 dot iron/ tumble dry/ dry clean set label just below eyelet re-enforcement piece right side seam as worn,3,,,OHAPP065103; OHAPP065115; OHAPP0651248
T428,Care / wash labels,Trim,Care label,CARE LABEL,Oliver harvey 65% recycled polyester 35% organic cotton label inside right side seam / 60 degree wash / Set into right side seam as worn set 8cm up from finished hem.,2,,,OHCJSSUFFOLK--01L; OHCJSSUFFOLK--01S
