Ref,Group,Kind,Suggested item,Trim type (as on WO),Description (as on WO),Styles using,New Sage code,Unit cost (GBP),Style codes
T500,Care / wash labels,Trim,Oh care label,OH care label,Set into seam of top of hat at centre back — 40° wash · 2-dot iron · low tumble dry,1,,,OHHT015415
T501,Care / wash labels,Trim,Oh care label,OH care label,Wash instruction placed inside side seam right hand side as worn 12cm up from finished hem. / Identification label placed under wash instruction. / 65% recycled polyester 35% organic cotton - 60 degree wash/ 2 dot iron/low tumble dry/p dry clean/do not bleach,1,,,OHCJSCUMBRIA--01
T502,Care / wash labels,Trim,Oh care label,OH care label,Wash instructions underneath the woven label / 65% recycled polyester 35% organic cotton 60 wash/2 dot iron/low tumble dry/p dry clean/do not bleach,1,,,OHCTDURHAM--03
T503,Care / wash labels,Trim,Oh care label,OH care label,Wash label -65% recycled polyester 35% organic cotton - 60 degree wash/ do not bleach/2 dot iron/ p dry clean/tumble dry low . set to centre back rise seam to finish 8cm down from top edge / Label for garment name and manufacturing month and year only - behind wash label,1,,,OHCTLANCASHIRE--03
T504,Care / wash labels,Trim,Oh care label,OH care label,Wash label -65% recycled polyester 35%organic cotton - 60 degree wash/ do not bleach/2 dot iron/ p dry clean/tumble dry . set to centre back rise seam to finish 8cm down from top edge / Label for garment name and manufacturing month and year only - behind wash label,1,,,OHCTTLANCASHIRE--03
T505,Care / wash labels,Trim,Oh care label,OH care label,Wash/care instructions 100% ORGANIC COTTON - 40 DEGREE WASH/2 DOT IRON/P DRY CLEAN/ DO NOT BLEACH/ TUMBLE DRY LOW / Label set 4cm down from top of finished RIGHT side seam as worn.,1,,,OHAPP078601
T506,Care / wash labels,Trim,Oh woven label,OH woven label,Set OH label 4cm down from right side seam as worn. set on top of care label.,17,,,OHAPP0569GD; OHAPP063103DENDS; OHAPP0631110DS; OHAPP0631153DS; OHAPP063115DS; OHAPP0631224DENDS; OHAPP0631241DS; OHAPP0631GDDS; OHAPP352801C; OHAPP352803; OHAPP352815; OHAPP3528248; OHAPP3528248S; OHAPP352831; OHAPP352882; OHAPP352883; OHAPP352883S
T507,Care / wash labels,Trim,Oh woven label,OH woven label,Set OH label/care label 7.5cm down from top cut edge right side seam as worn. set OH label on top of care label. labels to finish 4cm down from finished top edge. .,5,,,OHAP352801C; OHAP352801PC; OHAP352803PC; OHAP352815; OHAP352883
T508,Care / wash labels,Trim,Oh woven label,OH woven label,Set OH label on top of care label.,4,,,OHAPP065203; OHAPP065215; OHAPP0652248; OHAPP065283
T509,Care / wash labels,Trim,Oh woven label,OH woven label,Set on top of care label.,4,,,OHAPP065103; OHAPP065115; OHAPP0651248; OHAPP065183
T510,Care / wash labels,Trim,Oh woven label,OH woven label,Set OH label 7.5cm down from cut edge right side seam as worn. to finish 4cm down from right side seam as worn. set on top of care label.,1,,,OHAP3528248S
T511,Care / wash labels,Trim,Oliver harvey - care label,Oliver harvey - care label,Wash instructions set under woven label. Set to right side seam as worn. Set 4cm down from finished top edge. / Label - 100% organic cotton - 40 degree wash/ low tumble dry / p dry clean/ 2 dot iron/ do not bleach,1,,,OHAPP053583
T512,Care / wash labels,Trim,Oliver harvey - care label,Oliver harvey - care label,Wash instructions set under woven label. Set to right side seam as worn. Set 4cm down from finished top edge. / Label - 100% organic cotton - 50 degree wash/ do not tumble dry / p dry clean/ 2 dot iron/ do not bleach,1,,,OHAPP0535241
T513,Care / wash labels,Trim,Oliver harvey care label,Oliver harvey care label,100% COTTON -50 degree wash/do not bleach/ 2 dot iron/P dry clean/do not tumble dry. SET LABEL JUST BELOW BASE OF RE-INFORCEMENT PATCH IN RIGHT SIDE SEAM AS WORN. SET BELOW OH WOVEN LABEL.,9,,,OHAPP0596FGD; OHAPP0596GD; OHAPP059703DEN153; OHAPP0597224DEN; OHAPP0597F03DEN153; OHAPP0597F224DEN; OHAPP0598224DEN; OHAPP0599GD; OHAPP060003153DEN
T514,Care / wash labels,Trim,Oliver harvey care label,Oliver harvey care label,100% COTTON - 30 degree wash/do not bleach/ 2 dot iron/P dry clean/do not tumble dry. SET LABEL JUST BELOW BASE OF RE-INFORCEMENT PATCH IN RIGHT SIDE SEAM AS WORN. SET BELOW OH WOVEN LABEL.,3,,,OHAPP0573224; OHAPP0574224RR; OHAPP0575224ST
T515,Care / wash labels,Trim,Oliver harvey care label,Oliver harvey care label,100% LINEN - 40 degree wash/do not bleach/ 2 dot iron/P dry clean/do not tumble dry. IRON ON REVERSE (Note FIRST BATCH to be Tibard printed labels until stock of printed OH labels arrive) SET LABEL JUST BELOW BASE OF RE-INFORCEMENT PATCH IN RIGHT SIDE SEAM AS WORN. SET UNDERNEATH OH WOVEN LABEL.,3,,,OHAPP0590128; OHAPP0590156; OHAPP0590375
T516,Care / wash labels,Trim,Oliver harvey care label,Oliver harvey care label,100% organic cotton - wash at 40 degree/tumble dry low/2 dot iron/do not bleach/dry clean p set 4cm down from top of right side seam as worn. set underneath OH woven label.,3,,,OHAPP054403; OHAPP054415; OHAPP0544241
T517,Care / wash labels,Trim,Oliver harvey care label,Oliver harvey care label,100% COTTON - 50 degree wash/do not bleach/ 2 dot iron/P dry clean/do not tumble dry. SET LABEL 4CM DOWN FROM FINISHED TOP EDGE OF RIGHT SIDE SEAM AS WORN. SET UNDERNEATH OH WOVEN LABEL.,2,,,OHAPP0572224DEN; OHAPP0572F224DEN
T518,Care / wash labels,Trim,Oliver harvey care label,Oliver harvey care label,100% cotton - wash at 50 degree/tumble dry/2 dot iron/do not bleach/dry clean a set 4cm down from top of right side seam as worn. set underneath OH woven label.,2,,,OHAPP061203DEN; OHAPP0612GD
T519,Care / wash labels,Trim,Oliver harvey care label,Oliver harvey care label,100% organic cotton - wash at 40 degree/low tumble dry/2 dot iron/do not bleach/dry clean p set 4cm down from top of right side seam as worn. set underneath OH woven label.,2,,,OHAPP0544222; OHAPP054483
T520,Care / wash labels,Trim,Oliver harvey care label,Oliver harvey care label,Composition 65% polyester 35% cotton - 60 degree wash/ 2 dot iron/p dry clean/low tumble dry/do not bleach set 4cm down from top of right side seam as worn. set underneath OH woven label.,2,,,OHAPP054447; OHAPP054448
T521,Care / wash labels,Trim,Oliver harvey care label,Oliver harvey care label,100% COTTON - 30 degree wash/do not bleach/ 2 dot iron/P dry clean/do not tumble dry. SET LABEL 4CM DOWN FROM FINSIHED TOP EDGE OF RIGHT SIDE SEAM AS WORN. SET UNDERNEATH OH WOVEN LABEL.,1,,,OHAPP057215DEN
T522,Care / wash labels,Trim,Oliver harvey care label,Oliver harvey care label,100% COTTON -50 degree wash/do not bleach/ 2 dot iron/P dry clean/do not tumble dry. SET LABEL 4cm down from top of RIGHT SIDE SEAM AS WORN.,1,,,OHAPP061903DEN
T523,Care / wash labels,Trim,Oliver harvey care label,Oliver harvey care label,100% COTTON -50 degree wash/do not bleach/ 2 dot iron/P dry clean/do not tumble dry. SET LABEL 4cm down from top of RIGHT SIDE SEAM AS WORN. Set underneath Oliver Harvey woven label.,1,,,OHAPP061803DEN
T524,Care / wash labels,Trim,Oliver harvey care label,Oliver harvey care label,100% ORGANIC COTTON - 30 degree wash/do not bleach/ 1 dot iron/p dry clean/do not tumble dry. (CARE LABEL BASED ON PRINT WASH CARE) SET LABEL JUST BELOW BASE OF RE-INFORCEMENT PATCH IN RIGHT SIDE SEAM AS WORN. SET UNDERNEATH OH WOVEN LABEL.,1,,,OHAP0566PUTTY
T525,Care / wash labels,Trim,Oliver harvey care label,Oliver harvey care label,100% organic cotton - 40 degree wash/ do not bleach/tumble dry low/2 dot iron/ dry clean p set 4cm down from top of right side seam as worn. set underneath OH woven label.,1,,,OHAPP054401C
T526,Care / wash labels,Trim,Oliver harvey care label,Oliver harvey care label,100% organic cotton - wash at 40 degree/ tumble dry low /2 dot iron/do not bleach/dry clean p set 4cm down from top of right side seam as worn. set underneath OH woven label.,1,,,OHAPP0544173
T527,Care / wash labels,Trim,Oliver harvey care label,Oliver harvey care label,100% organic cotton - wash at 40 degree/tumble dry low/2 dot iron/do not bleach/p dry clean set 4cm down from top of right side seam as worn. set underneath OH woven label.,1,,,OHAPP0610241
T528,Care / wash labels,Trim,Oliver harvey care label,Oliver harvey care label,Set label underneath oliver harvey woven label in right side seam as worn. oliver harvey care label -65% polyester /35% cotton - 60 degree wash/ 2 dot iron/ tumble dry/ p dry clean/ do not bleach or 100% cotton 50 degree wash / do not bleach/ do not tumble dry / 2 dot iron/p dry clean,1,,,OHKIDSBIB--
T529,Care / wash labels,Trim,Oliver harvey woven label,Oliver harvey woven label,Set label just below base of re-inforcement patch in right side seam as worn. set on top of OH care label.,16,,,OHAPP0573224; OHAPP0574224RR; OHAPP0575224ST; OHAPP0596FGD; OHAPP0596GD; OHAPP059703DEN153; OHAPP0597224DEN; OHAPP0597F03DEN153; OHAPP0597F224DEN; OHAPP0598224DEN; OHAPP0599GD; OHAPP060003153DEN; OHAP0566PUTTY; OHAPP0590128; OHAPP0590156; OHAPP0590375
T530,Care / wash labels,Trim,Oliver harvey woven label,Oliver harvey woven label,Set label 4cm down from finished top edge of right side seam as worn. set on top of OH care label.,2,,,OHAPP0572224DEN; OHAPP0572F224DEN
T531,Care / wash labels,Trim,Oliver harvey woven label,Oliver harvey woven label,Set label 4cm down from finished top edge of right sdie seam as worn. set on top of OH care label.,1,,,OHAPP057215DEN
T532,Care / wash labels,Trim,Oliver harvey woven label,Oliver harvey woven label,SET LABEL 4cm down from top of RIGHT SIDE SEAM AS WORN. Set on top of care label.,1,,,OHAPP061903DEN
T533,Care / wash labels,Trim,Printed label - iron on reverse,Printed label - iron on reverse,"Printed label "" iron on reverse"". set underneath OH care label. set 6cm down from right side seam as worn. -",1,,,OHAP0566PUTTY
T534,Care / wash labels,Trim,Product code label,Product code label,Label for garment name and manufacturing month and year only - behind wash label in side seam,9,,,OHCJNORFOLK--01; OHCJSNORFOLK--01; OHCJSSUFFOLK--01; OHCJSSUFFOLK--01L; OHCJSSUFFOLK--01S; OHCJSSUFFOLK--03; OHCJSSUFFOLK--03L; OHCJSUFFOLK--01; OHCJSUFFOLK--03
T535,Care / wash labels,Trim,Wash,WASH,60 degree recycled poly organic cotton,1,,,OHAP3528248
T536,Care / wash labels,Trim,Wash,WASH,OLIVER HARVEY 65% 35% recycled POLY organic COTTON LABEL INSIDE RIGHT SIDE SEAM / 60 degree wash,1,,,OHLCJSYORK--03
T537,Care / wash labels,Trim,Wash,WASH,Oliver harvey 65% recycled polyester 35% organic cotton - label inside right side seam / 60 degree wash /2 dot iron/low tumble dry/p dry clean/do not bleach,1,,,OHLCJYORK--03
T538,Care / wash labels,Trim,Wash,WASH,Oliver harvey 65% recycled polyester 35% organic cotton - label inside right side seam / 60 degree wash/ 2 dot iron/tumble dry low/ p dry clean/do not bleach,1,,,OHLCJSYORK--01
T539,Care / wash labels,Trim,Wash,WASH,Oliver harvey 65% recycled polyester 35% organic cotton label inside right side seam / 60 degree wash / 2 dot iron/ low tumble dry/ p dry clean /do not bleach,1,,,OHLCJYORK--01
T540,Care / wash labels,Spec note,,Wash label location,"Right-hand side, inside side seam",17,,,OHCJSMCHESHIRE--01; OHCJMCHESHIRE--01; OHCJMCHESHIRE--01L; OHCJMCHESHIRE--03; OHCJSMCHESHIRE--01L; OHCJSMCHESHIRE--03; OHCJMOXFORD--01; OHCJMOXFORD--01L; OHCJMOXFORD--03; OHCJMOXFORD--03L; OHCJSMOXFORD--01; OHCJSMOXFORD--01L; OHCJSMOXFORD--01S; OHCJSMOXFORD--01LS; OHCJSMOXFORD--03; OHCJSMOXFORD--03L; OHCJSMOXFORDNLL--01
T541,Care / wash labels,Spec note,,Wash label wording,65° wash · 50% polyester 50% cotton — mesh 100% polyester,11,,,OHCJMOXFORD--01; OHCJMOXFORD--01L; OHCJMOXFORD--03; OHCJMOXFORD--03L; OHCJSMOXFORD--01; OHCJSMOXFORD--01L; OHCJSMOXFORD--01S; OHCJSMOXFORD--01LS; OHCJSMOXFORD--03; OHCJSMOXFORD--03L; OHCJSMOXFORDNLL--01
T542,Care / wash labels,Spec note,,Wash label wording,50% polyester 50% cotton — mesh 100% polyester. 65° wash · no bleach · low tumble dry · two-dot iron · P dry clean,6,,,OHCJSMCHESHIRE--01; OHCJMCHESHIRE--01; OHCJMCHESHIRE--01L; OHCJMCHESHIRE--03; OHCJSMCHESHIRE--01L; OHCJSMCHESHIRE--03
T543,Interlinings,Trim,Interlining,INTERLINING,Collar interlined -quality 3860 stabler white,6,,,OHCJMSTRATFORD--01; OHCJMSTRATFORD--01S; OHCJSMSTRATFORD--03; OHCJSMSTRATFORD--01; OHCJSMSTRATFORD--01S; OHLCJHAMPSHIRE--01
T544,Webbing,Trim,Black polypropylene webbing 25mm cmp-web-pu-25-03,Black polypropylene webbing 25mm cmp-web-pu-25-03,Supplier - new lace - their code = webb/c/25/black £6.42/100mt roll 29/4/26- usage 0.19m webbing cut at 19cm x 1,1,,,OHTAB03
T545,Webbing,Trim,Bottle green polypropylene webbing 25mm cmp-web-pu-25-24,Bottle green polypropylene webbing 25mm cmp-web-pu-25-24,Supplier - new lace - their code = webb/c/25/bottle green £9.31/100mt roll 29/4/26- usage 0.19m webbing cut at 19cm x 1,1,,,OHTAB24
T546,Webbing,Trim,Brown polypropylene webbing 25mm cmp-web-pu-25-82,Brown polypropylene webbing 25mm cmp-web-pu-25-82,Supplier - new lace - their code = webb/c/25/brown £9.31/100mt roll 29/4/26- usage 0.19m webbing cut at 19cm x 1,1,,,OHTAB82
T547,Webbing,Trim,Burgundy polypropylene webbing 25mm cmp-web-pu-25-06,Burgundy polypropylene webbing 25mm cmp-web-pu-25-06,Supplier - new lace - their code = webb/c/25/burgundy £9.31/100mt roll 29/4/26- usage 0.19m webbing cut at 19cm x 1,1,,,OHTAB06
T548,Webbing,Trim,Dark grey polypropylene webbing 25mm cmp-web-pu-25-14,Dark grey polypropylene webbing 25mm cmp-web-pu-25-14,Supplier - new lace - their code = webb/c/25/grey £9.31/100mt roll 29/4/26- usage 0.19m webbing cut at 19cm x 1,1,,,OHTAB14
T549,Webbing,Trim,Navy polypropylene webbing 25mm cmp-web-pu-25-15,Navy polypropylene webbing 25mm cmp-web-pu-25-15,Supplier - new lace - their code = webb/c/25/navy £9.31/100mt roll 29/4/26- usage 0.19m webbing cut at 19cm x 1,1,,,OHTAB15
T550,Webbing,Trim,Olive polypropylene webbing 25mm cmp-web-pu-25-83,Olive polypropylene webbing 25mm cmp-web-pu-25-83,Supplier - new lace - their code = webb/c/25/olive £9.31/100mt roll 29/4/26- usage 0.19m webbing cut at 19cm x 1,1,,,OHTAB83
T551,Webbing,Trim,Pink polypropylene webbing 25mm cmp-web-pu-25-04,Pink polypropylene webbing 25mm cmp-web-pu-25-04,Supplier - new lace - their code = webb/c/25/pink £9.31/100mt roll 29/4/26- usage 0.19m webbing cut at 19cm x 1,1,,,OHTAB04
T552,Webbing,Trim,Rainbow polypropylene webbing 25mm cmp-web-pu-25-921,Rainbow polypropylene webbing 25mm cmp-web-pu-25-921,Supplier - new lace - their code = webb/c/25/rainbow £9.31/100mt roll 29/4/26- usage 0.19m webbing cut at 19cm x 1,1,,,OHTAB921
T553,Webbing,Trim,Sand polypropylene webbing 25mm cmp-web-pu-25-131,Sand polypropylene webbing 25mm cmp-web-pu-25-131,Supplier - new lace - their code = webb/c/25/sand £9.31/100mt roll 29/4/26- usage 0.19m webbing cut at 19cm x 1,1,,,OHTAB131
T554,Webbing,Trim,Silver grey polypropylene webbing 25mm cmp-web-pu-25-286,Silver grey polypropylene webbing 25mm cmp-web-pu-25-286,Supplier - new lace - their code = webb/c/25/silver £9.31/100mt roll 29/4/26- usage 0.19m webbing cut at 19cm x 1,1,,,OHTAB286
T555,Webbing,Trim,White polypropylene webbing 25mm cmp-web-pu-25-01,White polypropylene webbing 25mm cmp-web-pu-25-01,Supplier - new lace - their code = webb/c/25/white £9.31/100mt roll 29/4/26- usage 0.19m webbing cut at 19cm x 1,1,,,OHTAB01
T556,Webbing,Trim,Yellow polypropylene webbing 25mm cmp-web-pu-25-11,Yellow polypropylene webbing 25mm cmp-web-pu-25-11,Supplier - new lace - their code = webb/c/25/yellow £9.31/100mt roll 29/4/26- usage 0.19m webbing cut at 19cm x 1,1,,,OHTAB11
T557,Packaging,Trim,Glassine bag for packing,Glassine Bag for packing,GLASSINE PEEL & SEAL BIODEGRADABLE BAG (68x92cm) ref - PKG-BAG-GLA-68x92-PS Supplier Glassine Bags - on line,1,,,OHTAB222/LT
T558,Other,Trim,Antique brass 15mm cap (parts a and b),Antique brass 15mm cap (parts a and b) x 2 each part,1 x Antique brass cap set to each end. Total 2 per tab. Use marker and push up to seam allowance. Pre-hole then set cap. Note cap set to side with no turning.,13,,,OHTAB921; OHTAB01; OHTAB03; OHTAB04; OHTAB06; OHTAB11; OHTAB14; OHTAB15; OHTAB24; OHTAB82; OHTAB83; OHTAB131; OHTAB286
T559,Other,Trim,Oliver harvey,Oliver harvey,Wash 60 degree - poly cotton,1,,,OHAP352803RS
T560,Spec / info only,Spec note,,SIZE,"Finished at 34""(86cm) wide and 27""(68.5cm) long / Finished mesurments - or + 1 cm tolerance",4,,,OHAP352803RS; OHAP352803VARI; OHAP3528248; OHAP352847
T561,Spec / info only,Spec note,,FABRIC,Black ripstop poly cotton 65% 35%,1,,,OHAP352803RS
T562,Spec / info only,Spec note,,FABRIC,BLACK/WHITE SCHWARZ STRIPE - 65% Poly 35% cotton,1,,,OHAP352847
T563,Spec / info only,Spec note,,FABRIC,Black/white vari stripe - 67% poly 33% cotton cut with vertical stripes down apron,1,,,OHAP352803VARI
T564,Spec / info only,Spec note,,FABRIC,BROWN 200gsm) 65% Recycled Polyester 35% organic COTTON X133- AM300,1,,,OHAP352882
T565,Spec / info only,Spec note,,FABRIC,STORM 65% Rcycled polyester 35% organic cotton 200gsm / X133 - AM299,1,,,OHAP3528248
T566,Spec / info only,Spec note,,SIZE,"Finished at 34""(86cm) wide and 27""(68.5cm) long / Finished measurements - or + 1 cm tolerance",1,,,OHAP352882
T567,Spec / info only,Spec note,,SUPPLIERS,CARRINGTONS,1,,,OHAP352803VARI
T568,Spec / info only,Spec note,,SUPPLIERS,Melchior textil,1,,,OHAP352847
T569,Spec / info only,Spec note,,SUPPLIERS,P and R (NT),1,,,OHAP352803RS
T570,Spec / info only,Spec note,,SUPPLIERS,Tiajio,1,,,OHAP352882
T571,Spec / info only,Spec note,,SUPPLIERS,TIAJO,1,,,OHAP3528248
